,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.eventId,Input.summaryId,Input.qIdList,Input.summary_text,Input.statement_1,Input.statement_2,Input.statement_3,Input.statement_4,Input.statement_5,Input.statement_6,Input.statement_7,Input.statement_8,Input.statement_9,Input.statement_10,Input.statement_11,Input.statement_12,Input.statement_13,Input.statement_14,Input.statement_15,Input.statement_16,Answer.S10Answer,Answer.S11Answer,Answer.S12Answer,Answer.S13Answer,Answer.S14Answer,Answer.S15Answer,Answer.S16Answer,Answer.S1Answer,Answer.S2Answer,Answer.S3Answer,Answer.S4Answer,Answer.S5Answer,Answer.S6Answer,Answer.S7Answer,Answer.S8Answer,Answer.S9Answer,Answer.feedback,Approve,Reject
0,3GL25Y6857ICGCW58TX61LZ50P7MXG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,30LSNF239ZJS5X0BQRJM8MUE5MFI2K,A2BCNRHZU9V7C4,Submitted,2020-05-23 23:05:22,2020-05-23 23:17:19,Tue May 26 23:17:19 PDT 2020,,,,717,0% (0/0),0% (0/0),0% (0/0),cnndm7626,unilm_out_v1,"['784', '785', '786', '787', '788', '789', '790', '791', '792', '793', '794', '795', '796', '797', '798', '799']",Acclaimed designer Alex Perry pulls out of 2015's Mercedes - Benz Fashion Week Australia . This year marks the 20th anniversary of the event . This is only the second time the designer has missed in two decades . Perry says he loves the excitement of running his own show . He says Kym Ellery and Johnny Schembri from by Johnny are his two faves . Perry says the Australian market .,Alex Perry is an Australian.,Alex Perry is a fashion designer.,The designer/Alex Perry won't show at this year's MBFWA.,BLANK,The designer/Alex Perry is excited to enjoy the shows from front row.,The designer/Alex Perry is going to watch the shows from front row.,This year's MBFWA will be the designer's / Alex Perry's second MBFWA he has missed in two decades.,The designer/Alex Perry is focusing on global expansion.,The designer/Alex Perry is focusing on global expansion in Asia and Middle East .,This year's MBFWA will be the designer's / Alex Perry's second MBFWA he has missed.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,n,p,p,n,n,n,p,n,n,{},,
1,3GL25Y6857ICGCW58TX61LZ50P7MXG,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,36AHBNMV1W01Y7DWRYP6QTF6SW7DYZ,A19LVWX8ZLO6CS,Submitted,2020-05-24 00:00:49,2020-05-24 00:01:53,Wed May 27 00:01:53 PDT 2020,,,,64,0% (0/0),0% (0/0),0% (0/0),cnndm7626,unilm_out_v1,"['784', '785', '786', '787', '788', '789', '790', '791', '792', '793', '794', '795', '796', '797', '798', '799']",Acclaimed designer Alex Perry pulls out of 2015's Mercedes - Benz Fashion Week Australia . This year marks the 20th anniversary of the event . This is only the second time the designer has missed in two decades . Perry says he loves the excitement of running his own show . He says Kym Ellery and Johnny Schembri from by Johnny are his two faves . Perry says the Australian market .,Alex Perry is an Australian.,Alex Perry is a fashion designer.,The designer/Alex Perry won't show at this year's MBFWA.,BLANK,The designer/Alex Perry is excited to enjoy the shows from front row.,The designer/Alex Perry is going to watch the shows from front row.,This year's MBFWA will be the designer's / Alex Perry's second MBFWA he has missed in two decades.,The designer/Alex Perry is focusing on global expansion.,The designer/Alex Perry is focusing on global expansion in Asia and Middle East .,This year's MBFWA will be the designer's / Alex Perry's second MBFWA he has missed.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,p,p,n,n,n,p,n,n,{},,
2,373L46LKQBUGV4RD6D5PVZZM0MXKJL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,31N2WW6R9WEXGOU4TJR6OZMEV8IF3W,A2WVY1WO8EBV8V,Submitted,2020-05-23 22:07:48,2020-05-23 22:08:55,Tue May 26 22:08:55 PDT 2020,,,,67,0% (0/0),0% (0/0),0% (0/0),cnndm7547,unilm_out_v1,"['592', '593', '594', '595', '596', '597', '598', '599', '600', '601', '602', '603', '604', '605', '606', '607']",Floyd Mayweather takes on Manny Pacquiao in Las Vegas on May 2 . The bout has been billed as the fight of the century . Former undefeated champion Joe Calzaghe is confident he can predict the fight . Tickets for the fight finally go on sale on Thursday night .,Floy Mayweather and Manny Pacquiao face off.,The face off will happen in Las Vegas.,The face off will happen on May 2.,Joe Calzaghe believes Mayweather's unbeaten record is a burden.,Mayweather has an unbeaten record.,Joe Calzaghe is a Welshman.,Joe Calzaghe thinks Mayweather will beat Manny Pacquiao.,Ricky Hatton gives prediciton to Jeff Powell.,The tickets of the face off go on sale.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,p,{},,
3,373L46LKQBUGV4RD6D5PVZZM0MXKJL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3KWTYT0875RMUVR4TDIXY9PI60W5LI,A1XRIEYLA7ZJ3B,Submitted,2020-05-23 22:12:22,2020-05-23 22:15:37,Tue May 26 22:15:37 PDT 2020,,,,195,0% (0/0),0% (0/0),0% (0/0),cnndm7547,unilm_out_v1,"['592', '593', '594', '595', '596', '597', '598', '599', '600', '601', '602', '603', '604', '605', '606', '607']",Floyd Mayweather takes on Manny Pacquiao in Las Vegas on May 2 . The bout has been billed as the fight of the century . Former undefeated champion Joe Calzaghe is confident he can predict the fight . Tickets for the fight finally go on sale on Thursday night .,Floy Mayweather and Manny Pacquiao face off.,The face off will happen in Las Vegas.,The face off will happen on May 2.,Joe Calzaghe believes Mayweather's unbeaten record is a burden.,Mayweather has an unbeaten record.,Joe Calzaghe is a Welshman.,Joe Calzaghe thinks Mayweather will beat Manny Pacquiao.,Ricky Hatton gives prediciton to Jeff Powell.,The tickets of the face off go on sale.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,p,n,n,n,n,n,p,{},,
4,3SV8KD29M8G6VJWHOZ8BJTNCJKAZKL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,31EUONYN20RBYA9GCWG2UONBET6OVS,A12ATVBE1I4567,Submitted,2020-05-23 22:53:41,2020-05-23 23:18:41,Tue May 26 23:18:41 PDT 2020,,,,1500,0% (0/0),0% (0/0),0% (0/0),cnndm5635,unilm_out_v1,"['384', '385', '386', '387', '388', '389', '390', '391', '392', '393', '394', '395', '396', '397', '398', '399']","Bright Yellow Gatso had previously enforced the 30mph speed limit . But it has not been working for two years . Every single fixed device was switched off in the West Midlands in March 2013 . Mystery surrounds who had re-pointed the camera , but a spokesman for Birmingham City Council said they were aware of it .",A Speed Camera was discovered pointing at a house.,The house was in Handsworth.,Handsworth was in Birmingham.,Fixed cameras were switched off across the West Midlands.,Fixed cameras were switched off across West Midlands in Spring of 2013.,She is not going to be part of a new trial.,The trial is about digital technology.,Obsolete camera may be taken down.,Engineers examine the device.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,{},,
5,3SV8KD29M8G6VJWHOZ8BJTNCJKAZKL,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,33NF62TLXOQJHOO7XFAQKJV8Z1MJKF,A1XRIEYLA7ZJ3B,Submitted,2020-05-23 22:18:34,2020-05-23 22:21:02,Tue May 26 22:21:02 PDT 2020,,,,148,0% (0/0),0% (0/0),0% (0/0),cnndm5635,unilm_out_v1,"['384', '385', '386', '387', '388', '389', '390', '391', '392', '393', '394', '395', '396', '397', '398', '399']","Bright Yellow Gatso had previously enforced the 30mph speed limit . But it has not been working for two years . Every single fixed device was switched off in the West Midlands in March 2013 . Mystery surrounds who had re-pointed the camera , but a spokesman for Birmingham City Council said they were aware of it .",A Speed Camera was discovered pointing at a house.,The house was in Handsworth.,Handsworth was in Birmingham.,Fixed cameras were switched off across the West Midlands.,Fixed cameras were switched off across West Midlands in Spring of 2013.,She is not going to be part of a new trial.,The trial is about digital technology.,Obsolete camera may be taken down.,Engineers examine the device.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,n,n,n,p,p,n,n,n,n,{},,
6,3VEI3XUC0VLY4J76RAJ6T77C4DXPRJ,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,32XVDSJFP4LE1GQ2B6HE0F1VMVZM24,A1A3J5IXCM8A7X,Submitted,2020-05-23 23:04:26,2020-05-23 23:05:34,Tue May 26 23:05:34 PDT 2020,,,,68,0% (0/0),0% (0/0),0% (0/0),cnndm5524,unilm_out_v1,"['608', '609', '610', '611', '612', '613', '614', '615', '616', '617', '618', '619', '620', '621', '622', '623']","The Maison Souquet is the most provocative hotel in the entire city of lights . Located in the once Tawdy Pigalle District , the 20 - room hotel describes itself as a ` temple to hedonism ' .",A hotel is designed by Jacques Garcia.,The hotel is opulent.,The hotel is edgy.,The hotel is inspired by the aesthetic of the Belle Epoque era.,The hotel is named Pigalle Haunt.,The hotel has Arabian decor.,The hotel has Napoleon III decor.,The hotel reminds of the cit's pleasure houses.,The hotel has a conservatory.,The conservatory is charming.,The conservatory is available for guest use.,The hotel has a library bar.,The hotel has a celestial spa.,The library bar is available for guest use.,The celestial spa is available for guest use.,The celestial spa is available for private rental.,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,{},,
9,3XEIP58NM4BHFPEZ9ZKCYT0R8KFZLO,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3Y5140Z9D24OX41HSPUY4Z27GW2IP2,A1XRIEYLA7ZJ3B,Submitted,2020-05-23 22:03:49,2020-05-23 22:07:13,Tue May 26 22:07:13 PDT 2020,,,,204,0% (0/0),0% (0/0),0% (0/0),cnndm11355,unilm_out_v1,"['944', '945', '946', '947', '948', '949', '950', '951', '952', '953', '954', '955', '956', '957', '958', '959']","A 12 - year - old Israeli Girl is missing after a tour boat she was on exploded and caught fire off Thailand's southwestern coast on its way to Phuket . The Ao Nang Princess 5 Ferry was carrying more than 100 people , including many foreign tourists , when the incident happened at around 3.30 pm local time . Passengers were throwing themselves into the Andaman Sea after the engine exploded and .",The ferry is Ao Nang Princess 5 Ferry.,Ferry was in Andaman Sea.,Ferry was on its way from resort of Krabi.,Ferry was travelling to Phuket.,Ferry was five miles from the coast.,Ferry's engine exploded.,Ferry is a 35-metre-long boat.,Ferry caught fire around 3.30 pm.,Ferry sank around 6 pm.,Passengers were seen throwing themselves overboard.,Passengers were rescued.,"No injuries reported, but a girl is missing.",Search will continue into tomorrow for missing girl.,BLANK,BLANK,BLANK,p,n,n,n,n,n,n,p,p,n,p,n,n,n,p,n,{},,
10,3XDJY5RK6W94VID4XKMNVKJ1KG64UC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3AQF3RZ55D6WD7HMCLP4V2YY5ZZ6F8,AOWLCXNXCSQAC,Submitted,2020-05-24 00:52:25,2020-05-24 00:57:20,Wed May 27 00:57:20 PDT 2020,,,,295,0% (0/0),0% (0/0),0% (0/0),cnndm7823,unilm_out_v1,"['352', '353', '354', '355', '356', '357', '358', '359', '360', '361', '362', '363', '364', '365', '366', '367']","Drivers pulled over on Interstate 20 in Albilene , Texas , to pick up cash . Video posted on Facebook shows motorists frantically grabbing the notes . Others were forced to slow down and veer out of the way . The passenger door of the Brinks Armored Truck opened as it was moving . It caused a plastic bag with a ` substantial amount of money ' to be blown .",Bundles of notes spilled onto Interstate 20.,The bundles of notes were spilled in Albilene Texas.,The bundles of notes were spilled on Friday.,Passenger door of vehicle was flung open.,The opening of door released the money onto the road.,Motorists pulled over.,Motorists abandoned their vehicles.,Motorists picked up the cash.,Police have warned anyone caught with the money will be arrested.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,p,p,p,n,p,n,{},,
11,3XDJY5RK6W94VID4XKMNVKJ1KG64UC,30M3L2ZU933JG596K1H7GJ2KLU36YQ,Are the facts in a text?,Answer whether 16 facts are contained in a given 70-word text.,"Reading Comprehension, Question Answering, Textual Content Evaluation",$0.20,Sat May 23 18:58:58 PDT 2020,2,BatchId:4050586;OriginalHitTemplateId:928390828;,5400,259200,Sun May 24 18:58:58 PDT 2020,,,3UWN2HHPU3TDOXS0HMBK4C3ZPFGNSG,A59L67EZKMC3V,Submitted,2020-05-24 00:38:48,2020-05-24 00:39:56,Wed May 27 00:39:56 PDT 2020,,,,68,0% (0/0),0% (0/0),0% (0/0),cnndm7823,unilm_out_v1,"['352', '353', '354', '355', '356', '357', '358', '359', '360', '361', '362', '363', '364', '365', '366', '367']","Drivers pulled over on Interstate 20 in Albilene , Texas , to pick up cash . Video posted on Facebook shows motorists frantically grabbing the notes . Others were forced to slow down and veer out of the way . The passenger door of the Brinks Armored Truck opened as it was moving . It caused a plastic bag with a ` substantial amount of money ' to be blown .",Bundles of notes spilled onto Interstate 20.,The bundles of notes were spilled in Albilene Texas.,The bundles of notes were spilled on Friday.,Passenger door of vehicle was flung open.,The opening of door released the money onto the road.,Motorists pulled over.,Motorists abandoned their vehicles.,Motorists picked up the cash.,Police have warned anyone caught with the money will be arrested.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,n,n,n,n,n,n,n,p,p,n,p,p,p,n,p,n,{},,
